x,y,class
5.269754623987607,3.5456343254012355,0
4.883150697056254,3.6522409388575534,0
5.28634368889228,3.6088438344754508,1
1.2937298093749874,6.95077539523179,0
3.6657415285972466,1.6532824942024447,1
3.9500884175255893,4.848642791702302,0
4.86755896042657,5.906044658275385,0
3.3018941805677455,3.3872804753950634,1
3.523276660531754,4.828453668777752,0
4.532779214358458,6.4693587699002855,0
2.325667339342624,5.031830558274351,0
4.864050299321679,4.136891362602695,1
5.7471883342046315,1.811055044796264,1
6.64813493220756,3.164227755487334,1
4.867119422413045,2.7022091205982717,1
5.038630551840188,1.3432848976780463,1
2.5968230530268204,6.2224450703824274,0
4.520344185992053,3.6203582983435125,1
4.295299724143766,3.9432607249694946,1
1.5087424072943945,5.439391701264537,0
1.9292473784894575,6.054451726931137,0
2.186853717955546,3.273717397668323,0
3.12691209270362,5.401989363444701,0
4.975673875601064,2.2619690907943113,1
4.559077367707409,2.719644504815491,1
4.2744026215364155,1.6166360446049446,1
5.097724967714855,3.5829536797532935,1
3.066517222383168,5.302471897739782,0
5.049494981650091,3.4938367762809563,1
2.196590335826159,4.310450222249799,0
4.34759141761298,2.609046624812399,1
2.9693155322185056,5.064492861359319,1
3.856830611902691,4.3489744066998535,0
5.841631264073636,2.750541419839051,1
4.280395611448207,2.187007011445923,1
2.5648464482783626,6.849263728479341,0
1.0,1.0,2
1.82687659488584,6.943621185649293,0
4.938373597904352,2.8926947237088254,1
3.8111407422159713,2.4931836457013126,1
2.1045334388063246,5.386902497859262,0
2.489194862431127,3.819367815877588,0
1.774564481169832,5.8443629764015474,0
4.842332983836184,5.256723497298209,1
3.0637201941534933,3.1887785967938287,1
3.693473148264683,4.658130679618188,1
5.279924599043238,2.901849610357042,1
2.9015474755745676,4.336521713637893,0
6.466578715574178,3.852551939461232,1
2.6884474678726273,5.056165342229745,0
2.2604370036086867,6.543014595406736,0
4.235856076093557,1.5622085261984215,1
1.3861021524420485,4.787259719786031,0
4.809346506418601,2.6051504859665497,1
3.2082749780768602,5.9766390364837125,0
3.947251967773748,4.8449899069091655,0
4.044054999507223,2.6540182243006134,1
2.340827762003259,3.606319524359381,1
5.383144774863942,5.944479486990414,0
4.488252193795599,6.895889176030583,0
4.732266463106034,1.8719886685299931,1
2.2300839255546836,5.539249191291817,0
5.698457149107336,3.0037708890862693,1
5.426258730778101,3.6769080350302454,1
4.689113828301529,3.0974001662687836,1
4.403685961549492,2.9474327037304535,1
3.46566243973046,3.4637563137227763,0
3.3764255311556295,3.9005992094158053,0
3.4170616026649183,3.610379379107205,1
1.9514470349329074,3.579982062821025,0
7.259308950690852,2.9577428483393575,1
4.05555374408175,2.5899503067974514,1
5.39904634564013,0.22740724357334985,1
4.186635740795797,1.533575672197486,1
3.8731741912432565,2.2693222471351753,1
6.955912308250694,3.3900933226879264,1
2.3656779063190365,4.6372588340128615,0
4.014489262315849,1.5281649925364131,1
3.396006712661645,3.906938491269494,0
4.494079073157606,4.794841736234199,0
2.6126731825920477,4.697697249424665,0
3.8426447408091464,2.6877077488743066,1
2.5863810192402528,4.2525451885592425,0
3.576590816614941,4.791701244422005,0
5.666383082031914,2.539280212611447,1
4.708162637252137,2.2385077881883766,1
5.7863279621089765,2.533580903264057,1
3.7290905621775368,5.1289829107574105,0
3.949420806925761,5.087551241385191,0
4.922942026480385,6.480514791434424,0
2.092701635616758,5.051945395796139,0
4.307950152215609,4.536377054245798,1
5.16323594928069,6.336527949436392,0
4.536404025353906,3.4814814737734623,1
1.9657571582155353,5.681594518281627,0
3.8644361988595057,4.257834979593558,0
3.2441094165622806,3.450934461805915,1
2.971817771661345,5.4283318705304175,0
5.689818164534788,4.301846229564998,1
2.327539552224049,4.640446838459459,0
3.7717905512136674,5.823504153963731,0
2.4903478182483463,4.561925698388814,0
3.4438632327454255,5.333674327374267,0
2.3563815971671094,2.7765968477755734,0
1.7472046399500738,5.77749035583191,0
4.984317888397445,3.160928168298223,1
3.166673495372529,5.635031436892106,0
4.957828548709421,2.7131128076100923,1
2.1122142523698875,3.019203531776073,0
2.896781148206442,5.410598501938372,0
5.857923924292336,4.141101866657573,1
4.126635922106507,3.9200684916365764,0
5.643314465062928,1.4293765913665473,1
4.312162388971318,1.7859225969058794,1
4.690987030952877,1.3239961936700233,1
4.982979586138559,3.379151735555082,1
6.364531848102471,2.3105508154500622,1
2.7319966290486195,5.802456395796395,0
3.8438175681780873,3.781198101709993,1
2.6520878506738472,5.15634896910398,0
4.347706400064981,2.478810687698889,1
6.15233156478312,4.079618592036821,1
7.303916697683942,1.9399841772784527,1
2.1387743149452976,6.910064953099034,0
6.099659595887113,3.6552637307225977,1
4.635306455608315,3.156703855272364,1
4.188029792352301,5.3169426119248495,0
2.0871777745558413,6.1170162880958525,0
3.4592029855553754,3.0632619942003316,1
2.364153921621119,5.6764332949464995,0
3.298238174206056,6.3263858966870306,0
1.6840925894884788,4.538415395185291,0
4.764052345967664,5.400157208367223,0
2.501967549307695,6.929532053816986,0
4.371912440358421,2.518972881539212,1
5.27451635772394,2.109084917004472,1
3.144043571160878,6.454273506962975,0
5.691538751070187,3.694749143656006,1
1.9997846526104353,3.4552289032223884,0
4.1394006845433005,3.7651741796463476,0
4.866298440331561,4.0777438059762625,1
2.646006088746516,3.625048706581981,0
3.6722947570124354,5.407461836241111,0
1.8956166605715494,5.052165079260974,0
4.646568251242801,1.3835258113489675,1
5.493741777349189,2.8838960609656334,1
6.068509399316009,2.5466141961486124,1
3.177426142253753,4.598219063791738,0
2.9607171817725044,3.8319065022588026,0
1.7071430902765514,5.267050869349183,0
5.156506537965376,3.232181036200276,1
3.6140793703460803,5.922206671566527,0
3.402341641177549,4.315189909059686,0
3.9547466338530453,4.211145289682701,1
5.578521497728879,3.349654456993174,1
5.693773152690133,2.840426561853733,1
1.8348501592166435,5.9008264869541875,0
3.0105000207208206,6.785870493905835,0
4.630818162057556,2.7606208224240736,1
4.7930963238360285,3.8801789120807824,1
5.9101789080925915,3.317218215191302,1
3.6252314510271875,3.397942344393252,0
3.045758517301446,4.812816149974166,0
2.544467496482657,5.017479159025057,0
4.2302906807277205,6.202379848784411,0
4.362562974447771,2.6027281856712023,1
4.600550970737125,3.370055887847519,1
4.315989102262783,4.659550796189873,1
3.3563663971744018,5.706573168191948,0
5.9318483741143035,3.339964983801262,1
2.3054321402686346,4.85036545967233,0
1.8525313475888976,4.562179955255566,0
4.178779571159651,4.820075164187649,0
4.457138523983282,3.4160500462614256,1
5.56729027785267,2.7773248994848454,1
3.575939091017468,2.506680116637806,1
3.313067701650901,4.145904260698275,0
4.6151201908187245,3.094351589317074,1
2.25524517795156,4.173561461340985,0
4.867557990149967,4.022722120123589,0
1.7295150015142664,5.969396708158011,0
3.1569304498433515,2.5220259959595133,1
5.280441705316296,2.0068763890704195,1
5.14195316332078,2.680671582854905,1
3.920858823780819,5.318727652943021,0
4.4026839310346375,2.762078270263993,1
2.9317583946753687,6.713342721649367,0
5.7732529774026,1.8161193598066823,1
5.640131526097592,1.3830439556891656,1
2.7444357705978106,1.9774931563643965,1
5.521064876452758,2.4242120301869337,1
3.7610377251469935,5.121675016492828,0
0.4470101841659213,5.653618595440361,0
3.9787379841057393,7.240893199201458,0
2.1292028508181184,4.421150335235584,0
5.523891023834206,3.0884220870446613,1
7.0,7.0,3
4.8818359548714305,2.3198217960031497,1
1.3698016530339554,5.462782255525775,0
6.494484544491369,0.9300149749864675,1
3.1549474256969163,5.378162519602173,0
4.889459342767528,4.0201727117158,1
